id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url,Tax Code,category (metadata),collection (metadata),type (metadata),release (metadata),brand (metadata),slug (metadata),size (metadata),make (metadata)
prod_Oan4VQ3lJS1u9o,Jordan 4 Retro Taupe Haze - 11,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,11,Jordan 4 Retro
prod_Oan4hWBFM3LRVy,Jordan 4 Retro Taupe Haze - 14,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,14,Jordan 4 Retro
prod_Oan4ppAfkgG40b,Jordan 4 Retro Taupe Haze - 12,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,12,Jordan 4 Retro
prod_Oan4zdVEiQLbA7,Jordan 4 Retro Taupe Haze - 13,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,13,Jordan 4 Retro
prod_Oan4hI0QyouRgA,Jordan 4 Retro Taupe Haze - 10.5,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,10.5,Jordan 4 Retro
prod_Oan4qPtIsiN3uN,Jordan 4 Retro Taupe Haze - 10,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,10,Jordan 4 Retro
prod_Oan4VIFek8E3fN,Jordan 4 Retro Taupe Haze - 9,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,9,Jordan 4 Retro
prod_Oan4QYmHiKKCZD,Jordan 4 Retro Taupe Haze - 9.5,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,9.5,Jordan 4 Retro
prod_Oan49pjZqkxswC,Jordan 4 Retro Taupe Haze - 8,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,8,Jordan 4 Retro
prod_Oan4R59n04v4fI,Jordan 4 Retro Taupe Haze - 8.5,service,2023-09-07 06:14,"**IMPORTANT** For US Size 12, 13, and 14, it is advised to size up (0.5-1 size) if you have wider feet. The Prime Orca God Tier Replicas Batch - Jordan 4 Retro Taupe Haze",PRIME ORCA LLC,,air-jordan-4-retro-taupe-haze,,jordan,jordan-4,,2021-02-27,jordan,air-jordan-4-retro-taupe-haze,8.5,Jordan 4 Retro
